,quanhuyen,tinhtp
496,Thành phố Bảo Lộc,Tỉnh Lâm Đồng
497,Huyện Đam Rông,Tỉnh Lâm Đồng
498,Huyện Lạc Dương,Tỉnh Lâm Đồng
499,Huyện Lâm Hà,Tỉnh Lâm Đồng
500,Huyện Đơn Dương,Tỉnh Lâm Đồng
501,Huyện Đức Trọng,Tỉnh Lâm Đồng
502,Huyện Di Linh,Tỉnh Lâm Đồng
503,Huyện Bảo Lâm,Tỉnh Lâm Đồng
504,Huyện Đạ Huoai,Tỉnh Lâm Đồng
505,Huyện Đạ Tẻh,Tỉnh Lâm Đồng
506,Huyện Cát Tiên,Tỉnh Lâm Đồng
507,Thị xã Phước Long,Tỉnh Bình Phước
508,Thị xã Đồng Xoài,Tỉnh Bình Phước
509,Thị xã Bình Long,Tỉnh Bình Phước
510,Huyện Bù Gia Mập,Tỉnh Bình Phước
511,Huyện Lộc Ninh,Tỉnh Bình Phước
512,Huyện Bù Đốp,Tỉnh Bình Phước
513,Huyện Hớn Quản,Tỉnh Bình Phước
514,Huyện Đồng Phú,Tỉnh Bình Phước
515,Huyện Bù Đăng,Tỉnh Bình Phước
516,Huyện Chơn Thành,Tỉnh Bình Phước
517,Huyện Phú Riềng,Tỉnh Bình Phước
518,Thành phố Tây Ninh,Tỉnh Tây Ninh
519,Huyện Tân Biên,Tỉnh Tây Ninh
520,Huyện Tân Châu,Tỉnh Tây Ninh
521,Huyện Dương Minh Châu,Tỉnh Tây Ninh
522,Huyện Châu Thành,Tỉnh Tây Ninh
523,Huyện Hòa Thành,Tỉnh Tây Ninh
524,Huyện Gò Dầu,Tỉnh Tây Ninh
525,Huyện Bến Cầu,Tỉnh Tây Ninh
526,Huyện Trảng Bàng,Tỉnh Tây Ninh
527,Thành phố Thủ Dầu Một,Tỉnh Bình Dương
528,Huyện Bàu Bàng,Tỉnh Bình Dương
529,Huyện Dầu Tiếng,Tỉnh Bình Dương
530,Thị xã Bến Cát,Tỉnh Bình Dương
531,Huyện Phú Giáo,Tỉnh Bình Dương
532,Thị xã Tân Uyên,Tỉnh Bình Dương
533,Thị xã Dĩ An,Tỉnh Bình Dương
534,Thị xã Thuận An,Tỉnh Bình Dương
535,Huyện Bắc Tân Uyên,Tỉnh Bình Dương
536,Thành phố Biên Hòa,Tỉnh Đồng Nai
537,Thị xã Long Khánh,Tỉnh Đồng Nai
538,Huyện Tân Phú,Tỉnh Đồng Nai
539,Huyện Vĩnh Cửu,Tỉnh Đồng Nai
540,Huyện Định Quán,Tỉnh Đồng Nai
541,Huyện Trảng Bom,Tỉnh Đồng Nai
542,Huyện Thống Nhất,Tỉnh Đồng Nai
543,Huyện Cẩm Mỹ,Tỉnh Đồng Nai
544,Huyện Long Thành,Tỉnh Đồng Nai
545,Huyện Xuân Lộc,Tỉnh Đồng Nai
546,Huyện Nhơn Trạch,Tỉnh Đồng Nai
547,Thành phố Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu
548,Thành phố Bà Rịa,Tỉnh Bà Rịa - Vũng Tàu
549,Huyện Châu Đức,Tỉnh Bà Rịa - Vũng Tàu
550,Huyện Xuyên Mộc,Tỉnh Bà Rịa - Vũng Tàu
551,Huyện Long Điền,Tỉnh Bà Rịa - Vũng Tàu
552,Huyện Đất Đỏ,Tỉnh Bà Rịa - Vũng Tàu
553,Huyện Tân Thành,Tỉnh Bà Rịa - Vũng Tàu
554,Huyện Côn Đảo,Tỉnh Bà Rịa - Vũng Tàu
555,Quận 1,Thành phố Hồ Chí Minh
556,Quận 12,Thành phố Hồ Chí Minh
557,Quận Thủ Đức,Thành phố Hồ Chí Minh
558,Quận 9,Thành phố Hồ Chí Minh
559,Quận Gò Vấp,Thành phố Hồ Chí Minh
560,Quận Bình Thạnh,Thành phố Hồ Chí Minh
561,Quận Tân Bình,Thành phố Hồ Chí Minh
562,Quận Tân Phú,Thành phố Hồ Chí Minh
563,Quận Phú Nhuận,Thành phố Hồ Chí Minh
564,Quận 2,Thành phố Hồ Chí Minh
565,Quận 3,Thành phố Hồ Chí Minh
566,Quận 10,Thành phố Hồ Chí Minh
567,Quận 11,Thành phố Hồ Chí Minh
568,Quận 4,Thành phố Hồ Chí Minh
569,Quận 5,Thành phố Hồ Chí Minh
570,Quận 6,Thành phố Hồ Chí Minh
571,Quận 8,Thành phố Hồ Chí Minh
572,Quận Bình Tân,Thành phố Hồ Chí Minh
573,Quận 7,Thành phố Hồ Chí Minh
574,Huyện Củ Chi,Thành phố Hồ Chí Minh
575,Huyện Hóc Môn,Thành phố Hồ Chí Minh
576,Huyện Bình Chánh,Thành phố Hồ Chí Minh
577,Huyện Nhà Bè,Thành phố Hồ Chí Minh
578,Huyện Cần Giờ,Thành phố Hồ Chí Minh
579,Thành phố Tân An,Tỉnh Long An
580,Thị xã Kiến Tường,Tỉnh Long An
581,Huyện Tân Hưng,Tỉnh Long An
582,Huyện Vĩnh Hưng,Tỉnh Long An
583,Huyện Mộc Hóa,Tỉnh Long An
584,Huyện Tân Thạnh,Tỉnh Long An
585,Huyện Thạnh Hóa,Tỉnh Long An
586,Huyện Đức Huệ,Tỉnh Long An
587,Huyện Đức Hòa,Tỉnh Long An
588,Huyện Bến Lức,Tỉnh Long An
589,Huyện Thủ Thừa,Tỉnh Long An
590,Huyện Tân Trụ,Tỉnh Long An
591,Huyện Cần Đước,Tỉnh Long An
592,Huyện Cần Giuộc,Tỉnh Long An
593,Huyện Châu Thành,Tỉnh Long An
594,Thành phố Mỹ Tho,Tỉnh Tiền Giang
595,Thị xã Gò Công,Tỉnh Tiền Giang
596,Thị xã Cai Lậy,Tỉnh Tiền Giang
597,Huyện Tân Phước,Tỉnh Tiền Giang
598,Huyện Cái Bè,Tỉnh Tiền Giang
599,Huyện Cai Lậy,Tỉnh Tiền Giang
600,Huyện Châu Thành,Tỉnh Tiền Giang
601,Huyện Chợ Gạo,Tỉnh Tiền Giang
602,Huyện Gò Công Tây,Tỉnh Tiền Giang
603,Huyện Gò Công Đông,Tỉnh Tiền Giang
604,Huyện Tân Phú Đông,Tỉnh Tiền Giang
605,Thành phố Bến Tre,Tỉnh Bến Tre
606,Huyện Châu Thành,Tỉnh Bến Tre
607,Huyện Chợ Lách,Tỉnh Bến Tre
608,Huyện Mỏ Cày Nam,Tỉnh Bến Tre
609,Huyện Giồng Trôm,Tỉnh Bến Tre
610,Huyện Bình Đại,Tỉnh Bến Tre
611,Huyện Ba Tri,Tỉnh Bến Tre
612,Huyện Thạnh Phú,Tỉnh Bến Tre
613,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
614,Thành phố Trà Vinh,Tỉnh Trà Vinh
615,Huyện Càng Long,Tỉnh Trà Vinh
616,Huyện Cầu Kè,Tỉnh Trà Vinh
617,Huyện Tiểu Cần,Tỉnh Trà Vinh
618,Huyện Châu Thành,Tỉnh Trà Vinh
619,Huyện Cầu Ngang,Tỉnh Trà Vinh
620,Huyện Trà Cú,Tỉnh Trà Vinh
621,Huyện Duyên Hải,Tỉnh Trà Vinh
622,Thị xã Duyên Hải,Tỉnh Trà Vinh
623,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
624,Huyện Long Hồ,Tỉnh Vĩnh Long
625,Huyện Mang Thít,Tỉnh Vĩnh Long
626,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
627,Huyện Tam Bình,Tỉnh Vĩnh Long
628,Thị xã Bình Minh,Tỉnh Vĩnh Long
629,Huyện Trà Ôn,Tỉnh Vĩnh Long
630,Huyện Bình Tân,Tỉnh Vĩnh Long
631,Thành phố Cao Lãnh,Tỉnh Đồng Tháp
632,Thành phố Sa Đéc,Tỉnh Đồng Tháp
633,Thị xã Hồng Ngự,Tỉnh Đồng Tháp
634,Huyện Tân Hồng,Tỉnh Đồng Tháp
635,Huyện Hồng Ngự,Tỉnh Đồng Tháp
636,Huyện Tam Nông,Tỉnh Đồng Tháp
637,Huyện Tháp Mười,Tỉnh Đồng Tháp
638,Huyện Cao Lãnh,Tỉnh Đồng Tháp
639,Huyện Thanh Bình,Tỉnh Đồng Tháp
640,Huyện Lấp Vò,Tỉnh Đồng Tháp
641,Huyện Lai Vung,Tỉnh Đồng Tháp
642,Huyện Châu Thành,Tỉnh Đồng Tháp
643,Thành phố Long Xuyên,Tỉnh An Giang
644,Thành phố Châu Đốc,Tỉnh An Giang
645,Huyện An Phú,Tỉnh An Giang
646,Thị xã Tân Châu,Tỉnh An Giang
647,Huyện Phú Tân,Tỉnh An Giang
648,Huyện Châu Phú,Tỉnh An Giang
649,Huyện Tịnh Biên,Tỉnh An Giang
650,Huyện Tri Tôn,Tỉnh An Giang
651,Huyện Châu Thành,Tỉnh An Giang
652,Huyện Chợ Mới,Tỉnh An Giang
653,Huyện Thoại Sơn,Tỉnh An Giang
654,Thành phố Rạch Giá,Tỉnh Kiên Giang
655,Thị xã Hà Tiên,Tỉnh Kiên Giang
656,Huyện Kiên Lương,Tỉnh Kiên Giang
657,Huyện Hòn Đất,Tỉnh Kiên Giang
658,Huyện Tân Hiệp,Tỉnh Kiên Giang
659,Huyện Châu Thành,Tỉnh Kiên Giang
660,Huyện Giồng Riềng,Tỉnh Kiên Giang
661,Huyện Gò Quao,Tỉnh Kiên Giang
662,Huyện An Biên,Tỉnh Kiên Giang
663,Huyện An Minh,Tỉnh Kiên Giang
664,Huyện Vĩnh Thuận,Tỉnh Kiên Giang
665,Huyện Phú Quốc,Tỉnh Kiên Giang
666,Huyện Kiên Hải,Tỉnh Kiên Giang
667,Huyện U Minh Thượng,Tỉnh Kiên Giang
668,Huyện Giang Thành,Tỉnh Kiên Giang
669,Quận Ninh Kiều,Thành phố Cần Thơ
670,Quận Ô Môn,Thành phố Cần Thơ
671,Quận Bình Thuỷ,Thành phố Cần Thơ
672,Quận Cái Răng,Thành phố Cần Thơ
673,Quận Thốt Nốt,Thành phố Cần Thơ
674,Huyện Vĩnh Thạnh,Thành phố Cần Thơ
675,Huyện Cờ Đỏ,Thành phố Cần Thơ
676,Huyện Phong Điền,Thành phố Cần Thơ
677,Huyện Thới Lai,Thành phố Cần Thơ
678,Thành phố Vị Thanh,Tỉnh Hậu Giang
679,Thị xã Ngã Bảy,Tỉnh Hậu Giang
680,Huyện Châu Thành A,Tỉnh Hậu Giang
681,Huyện Châu Thành,Tỉnh Hậu Giang
682,Huyện Phụng Hiệp,Tỉnh Hậu Giang
683,Huyện Vị Thuỷ,Tỉnh Hậu Giang
684,Huyện Long Mỹ,Tỉnh Hậu Giang
685,Thị xã Long Mỹ,Tỉnh Hậu Giang
686,Thành phố Sóc Trăng,Tỉnh Sóc Trăng
687,Huyện Châu Thành,Tỉnh Sóc Trăng
688,Huyện Kế Sách,Tỉnh Sóc Trăng
689,Huyện Mỹ Tú,Tỉnh Sóc Trăng
690,Huyện Cù Lao Dung,Tỉnh Sóc Trăng
691,Huyện Long Phú,Tỉnh Sóc Trăng
692,Huyện Mỹ Xuyên,Tỉnh Sóc Trăng
693,Thị xã Ngã Năm,Tỉnh Sóc Trăng
694,Huyện Thạnh Trị,Tỉnh Sóc Trăng
695,Thị xã Vĩnh Châu,Tỉnh Sóc Trăng
696,Huyện Trần Đề,Tỉnh Sóc Trăng
697,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
698,Huyện Hồng Dân,Tỉnh Bạc Liêu
699,Huyện Phước Long,Tỉnh Bạc Liêu
700,Huyện Vĩnh Lợi,Tỉnh Bạc Liêu
701,Thị xã Giá Rai,Tỉnh Bạc Liêu
702,Huyện Đông Hải,Tỉnh Bạc Liêu
703,Huyện Hòa Bình,Tỉnh Bạc Liêu
704,Thành phố Cà Mau,Tỉnh Cà Mau
705,Huyện U Minh,Tỉnh Cà Mau
706,Huyện Thới Bình,Tỉnh Cà Mau
707,Huyện Trần Văn Thời,Tỉnh Cà Mau
708,Huyện Cái Nước,Tỉnh Cà Mau
709,Huyện Đầm Dơi,Tỉnh Cà Mau
710,Huyện Năm Căn,Tỉnh Cà Mau
711,Huyện Phú Tân,Tỉnh Cà Mau
712,Huyện Ngọc Hiển,Tỉnh Cà Mau
